,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Algorithm,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering
Processing Method,No Data Processing,No Data Processing,No Data Processing,Normalization,Normalization,Normalization,Transformation,Transformation,Transformation,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
Subcluster Size,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4
Silhouette Score,0.6899796318793473,0.5082541979862977,0.5090031014228602,0.36706054267114924,0.3353455059391661,0.13660517879221945,0.33938477753669855,0.33009721062922587,0.2981990434923712,0.6971073930575346,0.5388734707677424,0.5486734944749144,0.36706054267114924,0.3353455059391661,0.13660517879221945,0.4788110551030613,0.427655186593194,0.22217943411532085
Calinski-Harabasz Score,1088.1623612748806,1089.9294356799096,1245.5676253126308,319.01794931835724,235.84271935764409,185.185912012809,248.62884061078907,182.17394580771122,138.09049053268672,1217.6602755541549,1136.3503705788614,1345.1985053132237,319.01794931835724,235.84271935764409,185.185912012809,608.7904006316525,419.0154311702657,244.71361766164281
Davies-Bouldin Score,0.4794639784131376,0.6314289134608408,0.609062975996056,1.2301928759265677,1.466151952485384,1.9146505883971532,1.369963541894103,1.556389937521331,1.4848329611949305,0.4813894007067383,0.6329714243651972,0.5938505048640987,1.2301928759265677,1.466151952485384,1.9146505883971532,0.8326690342922983,1.074330056349761,1.654525879826592
